Running HiGHS 1.10.0 (git hash: fd8665394e): Copyright (c) 2025 HiGHS under MIT licence terms
LP   has 1634630 rows; 907262 cols; 3099398 nonzeros
Coefficient ranges:
  Matrix [1e-04, 8e+05]
  Cost   [1e-01, 1e+00]
  Bound  [0e+00, 0e+00]
  RHS    [2e-66, 5e+02]
Presolving model
623170 rows, 652542 cols, 1607646 nonzeros  1s
226150 rows, 254360 cols, 835330 nonzeros  3s
182993 rows, 210917 cols, 764103 nonzeros  3s
Dependent equations search running on 127640 equations with time limit of 1000.00s
Dependent equations search removed 0 rows and 0 nonzeros in 0.46s (limit = 1000.00s)
169738 rows, 197512 cols, 741262 nonzeros  5s
Presolve : Reductions: rows 169738(-1464892); columns 197512(-709750); elements 741262(-2358136)
Solving the presolved LP
Using EKK dual simplex solver - serial
  Iteration        Objective     Infeasibilities num(sum)
          0    -8.5054244415e+04 Ph1: 63615(3.9546e+07); Du: 17905(85054.2) 6s
WARNING: LP matrix packed vector contains 1150 |values| in [2.45754e-38, 2.45754e-38] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.77703e-46, 2.77703e-46] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [8.95661e-38, 8.95661e-38] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [5.13743e-37, 5.13743e-37] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [7.54387e-39, 7.54387e-39] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [4.69502e-51, 4.69502e-51] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [3.004e-35, 3.004e-35] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.0469e-11, 2.0469e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.90652e-49, 2.90652e-49] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.85199e-11, 1.85199e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.51957e-11, 1.51957e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [7.93815e-34, 7.93815e-34] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.79474e-40, 2.79474e-40] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [7.39281e-35, 7.39281e-35] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.49662e-37, 2.49662e-37] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [9.2698e-40, 9.2698e-40] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [5.71633e-51, 5.71633e-51] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [3.64811e-48, 3.64811e-48] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.69683e-35, 2.69683e-35] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [3.16182e-37, 3.16182e-37] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.33667e-47, 2.33667e-47] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [3.76498e-40, 3.76498e-40] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.61193e-39, 1.61193e-39] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [4.1258e-35, 4.1258e-35] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [3.84752e-35, 3.84752e-35] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [7.67365e-49, 7.67365e-49] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [3.2721e-48, 3.2721e-48] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [6.95111e-38, 6.95111e-38] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.91732e-11, 1.91732e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.18053e-37, 1.18053e-37] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.90817e-11, 1.90817e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.63703e-41, 2.63703e-41] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.55191e-38, 1.55191e-38] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [4.54934e-38, 4.54934e-38] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [3.03801e-11, 3.03801e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.21497e-50, 1.21497e-50] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [4.93979e-11, 4.93979e-11] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [6.20682e-40, 6.20682e-40] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.62223e-37, 1.62223e-37] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [1.87718e-42, 1.87718e-42] less than or equal to 1e-09: ignored
WARNING: LP matrix packed vector contains 1150 |values| in [2.03927e-39, 2.03927e-39] less than or equal to 1e-09: ignored
